title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
Call of Duty: Infinite Warfare,PS4,Shooter,Activision,Infinity Ward,7.Sep,Aug.48,3.Nov,0.19,Mar.83,Jan.36,4.11.2016,14.1.2018
Fallout 4,PS4,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.Jun,Aug.48,Feb.91,0.27,Mar.97,Jan.34,10.11.2015,24.3.2018
FIFA 16,PS4,Sports,EA Sports,EA Canada,8.May,Aug.22,Jan.15,0.07,May.77,Jan.23,22.9.2015,1.4.2018
Star Wars Battlefront (2015),PS4,Shooter,Electronic Arts,EA DICE,7.Jan,8.Mar,Mar.31,0.23,Mar.19,1.Mar,17.11.2015,24.3.2018
FIFA 13,PS3,Sports,EA Sports,EA Canada,,8.Jan,1.Jul,0.13,May.13,Jan.68,25.9.2012,6.4.2018
The Sims 3,PC,Simulation,Electronic Arts,EA Redwood Shores,8.May,Jul.96,1.Jan,,Jun.46,0.5,2.6.2009,
Grand Theft Auto: Liberty City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,8.Aug,Jul.72,2.Sep,0.24,Feb.83,Jan.74,25.10.2005,
Call of Duty: Advanced Warfare,PS4,Shooter,Activision,Sledgehammer Games,8.May,Jul.53,Feb.84,0.14,Mar.34,Jan.22,4.11.2014,4.1.2018
Call of Duty: World at War,X360,Shooter,Activision,Treyarch,8.May,7.May,Apr.88,,Jan.91,0.71,10.11.2008,
Call of Duty: Black Ops 3,XOne,Shooter,Activision,Treyarch,,Jul.37,Apr.63,0.02,2.Apr,0.68,6.11.2015,14.1.2018
Battlefield 3,X360,Shooter,Electronic Arts,Dice,8.May,Jul.35,Apr.47,0.06,2.Dec,0.69,25.10.2011,
Battlefield 1,PS4,Shooter,Electronic Arts,EA DICE,9.Jan,Jul.26,2.Feb,0.29,Mar.65,1.Dec,21.10.2016,24.3.2018
Battlefield 3,PS3,Shooter,Electronic Arts,Dice,8.May,Jul.21,Feb.86,0.35,Feb.94,1.Jul,25.10.2011,
Need for Speed Underground,PS2,Racing,Electronic Arts,EA Black Box,8.Jun,7.Feb,Mar.27,0.08,Feb.83,1.Feb,17.11.2003,
Need for Speed Underground 2,PS2,Racing,Electronic Arts,EA Black Box,8.Mar,6.Sep,Feb.71,0.08,3.Feb,1.Sep,15.11.2004,
Just Dance 4,Wii,Music,Ubisoft,Ubisoft,,Jun.89,4.May,,Feb.21,0.62,9.10.2012,31.1.2018
Medal of Honor: Frontline,PS2,Shooter,Electronic Arts,EA Los Angeles,9,Jun.83,Feb.93,0.17,Feb.75,0.99,28.5.2002,
Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,Naughty Dog,9.May,Jun.74,Mar.28,0.21,Feb.22,1.Feb,13.10.2009,
Call of Duty 4: Modern Warfare,PS3,Shooter,Activision,Infinity Ward,9.May,Jun.72,Mar.13,0.28,Feb.27,1.Apr,5.11.2007,
FIFA Soccer 12,PS3,Sports,EA Sports,EA Canada,9.Feb,Jun.65,0.84,0.11,Apr.33,Jan.37,27.9.2011,
FIFA 14,PS3,Sports,EA Sports,EA Canada,,Jun.61,0.79,0.07,Apr.77,0.98,24.9.2013,15.9.2018
Red Dead Redemption,PS3,Action,Rockstar Games,Rockstar San Diego,9.May,Jun.57,Feb.82,0.17,Feb.58,1,11.10.2011,
Red Dead Redemption,X360,Action,Rockstar Games,Rockstar San Diego,9.May,6.May,Mar.77,0.09,2.Mar,0.6,18.5.2010,
Assassin's Creed III,PS3,Action-Adventure,Ubisoft,Ubisoft Montreal,8.Aug,6.May,Feb.65,0.16,Feb.61,1.Aug,30.10.2012,12.4.2018
The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9,Jun.49,Feb.57,0.25,Feb.68,0.99,11.11.2011,1.4.2018
Minecraft,PS4,Misc,Sony Computer Entertainment,Mojang,9.Apr,Jun.33,Jan.89,0.35,Mar.13,0.96,7.10.2014,14.9.2018
FIFA 15,PS4,Sports,EA Sports,EA Canada,8.Jan,Jun.32,0.83,0.05,Apr.49,0.94,23.9.2014,23.3.2018
Driver,PS,Action,GT Interactive,Reflections Interactive,8.May,Jun.27,3.Nov,0.02,2.Aug,0.33,30.6.1999,
Call of Duty: WWII,XOne,Shooter,Activision,Sledgehammer Games,,Jun.23,Mar.75,,Jan.91,0.57,3.11.2017,30.12.2017
Minecraft,PS3,Misc,Sony Computer Entertainment America,Mojang,,6.May,Feb.21,,Feb.86,0.99,16.5.2014,5.8.2018
Red Dead Redemption 2,XOne,Action-Adventure,Rockstar Games,Rockstar Games,,May.77,Mar.76,,Jan.47,0.54,26.10.2018,2.11.2018
Destiny,PS4,Shooter,Activision,Bungie,,May.76,Feb.53,0.16,Feb.13,0.94,9.9.2014,12.1.2018
Tekken 2,PS,Fighting,Namco,Namco,9.Jan,May.74,Feb.26,Jan.36,Jan.89,0.23,25.8.1996,
LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,Traveller's Tales,8,May.66,Mar.57,,Jan.57,0.52,6.11.2007,
Cooking Mama,DS,Simulation,Majesco,Office Create,6.Jun,May.66,3.Sep,0.07,Jan.92,0.58,12.9.2006,
Assassin's Creed II,PS3,Action,Ubisoft,Ubisoft Montreal,9,May.57,Feb.54,0.21,Jan.95,0.86,17.11.2009,3.1.2018
Assassin's Creed,X360,Action,Ubisoft,Ubisoft Montreal,8.Feb,May.55,Mar.28,0.07,Jan.64,0.56,13.11.2007,
Batman: Arkham City,PS3,Action,Warner Bros. Interactive,Rocksteady Studios,9.Jun,May.54,Feb.72,0.11,Jan.89,0.82,18.10.2011,
Forza Motorsport 3,X360,Racing,Microsoft Game Studios,Turn 10 Studios,9.Feb,5.May,Feb.99,0.1,1.Sep,0.51,27.10.2009,
Call of Duty: World at War,PS3,Shooter,Activision,Treyarch,8.Apr,May.43,Feb.75,,Jan.84,0.84,10.11.2008,
Minecraft,XOne,Misc,Microsoft Studios,Mojang,,May.43,Mar.23,,Jan.71,0.49,18.11.2014,14.9.2018
Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive,Traveller's Tales,6.Sep,May.42,2.Jul,0.24,Feb.29,0.82,29.10.2001,
Final Fantasy XIII,PS3,Role-Playing,Square Enix,Square Enix,8,May.35,Jan.75,Jan.87,Jan.23,0.51,9.3.2010,
Assassin's Creed III,X360,Action-Adventure,Ubisoft,Ubisoft Montreal,,May.31,Mar.13,0.03,Jan.71,0.45,30.10.2012,7.2.2018
Assassin's Creed II,X360,Action,Ubisoft,Ubisoft Montreal,9.Jan,5.Mar,Mar.14,0.08,Jan.55,0.52,17.11.2009,
Tomb Raider II,PS,Adventure,Eidos Interactive,Core Design Ltd.,7.Jun,May.24,2.Mar,0.2,Feb.46,0.28,31.10.1997,
Madden NFL 2004,PS2,Sports,EA Sports,EA Tiburon,9.May,May.23,Apr.26,0.01,0.26,0.71,12.8.2003,
Call of Duty: Advanced Warfare,XOne,Shooter,Activision,Sledgehammer Games,8.Mar,May.22,Mar.25,0.01,Jan.49,0.48,4.11.2014,1.1.2018
Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts,EA Los Angeles,5.Sep,May.13,Jan.98,0.13,Feb.23,0.8,11.11.2003,
Battlefield 1,XOne,Shooter,Electronic Arts,EA DICE,9.Mar,May.13,Mar.37,0.02,Jan.26,0.48,21.10.2016,24.3.2018
Microsoft Flight Simulator,PC,Simulation,Microsoft,Microsoft,7,5.Dec,Mar.22,,Jan.69,0.2,31.10.1996,
Guitar Hero II,PS2,Misc,RedOctane,Harmonix Music Systems,9.Feb,5.Dec,Mar.81,,0.63,0.68,7.11.2006,
FIFA 13,X360,Sports,EA Sports,EA Canada,,5.Nov,1.Jan,0.03,Mar.49,0.5,25.9.2012,6.4.2018
Mario & Sonic at the Olympic Games,DS,Sports,Sega,Sega,7,5.Jan,Jan.63,0.44,Feb.46,0.57,22.1.2008,
Fable III,X360,Role-Playing,Microsoft Game Studios,Lionhead Studios,7.Aug,5.Jan,Mar.59,0.05,1.Sep,0.37,26.10.2010,
Resident Evil 5,PS3,Action,Capcom,Capcom,8.Jun,5.Jan,Jan.96,1.Aug,Jan.42,0.64,13.3.2009,
FIFA Soccer 11,PS3,Sports,EA Sports,EA Canada,8.Jul,5.Aug,0.61,0.06,Mar.28,1.Dec,28.9.2010,
Grand Theft Auto: Vice City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,8.Apr,5.Aug,1.Jul,0.16,2.Mar,Jan.19,31.10.2006,
Final Fantasy XV,PS4,Role-Playing,Square Enix,Square Enix,8.Jan,5.Jul,Jan.81,1.May,Jan.53,0.68,29.11.2016,4.5.2018
Fallout 4,XOne,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.Apr,5.Mar,Feb.94,0.02,Jan.62,0.45,10.11.2015,24.3.2018
Tony Hawk's Pro Skater,PS,Sports,Activision,Neversoft Entertainment,9.Jun,5.Feb,Mar.42,0.02,Jan.38,0.2,31.8.1999,
Warzone 2100,PS,Strategy,Eidos Interactive,Pumpkin Studios,,5.Jan,Feb.79,,Jan.89,0.33,31.5.1999,
Guitar Hero III: Legends of Rock,PS2,Misc,RedOctane,BudCat Creations,8.Feb,Apr.98,Mar.49,0.01,0.01,Jan.48,28.10.2007,
Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,Naughty Dog,8.Jul,Apr.97,Feb.32,0.12,Jan.73,0.8,16.11.2007,
Fallout 3,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9,Apr.96,Mar.41,0.09,0.99,0.46,28.10.2008,
Madden NFL 06,PS2,Sports,EA Sports,EA Tiburon,9.Jan,Apr.91,Mar.98,0.01,0.26,0.66,8.8.2005,
Call of Duty: Black Ops IIII,XOne,Shooter,Activision,Treyarch,,Apr.85,Mar.27,,1.Dec,0.46,12.10.2018,7.11.2018
Assassin's Creed,PS3,Action,Ubisoft,Ubisoft Montreal,8.Feb,Apr.83,Jan.91,0.09,2.Jan,0.82,13.11.2007,
Crash Bandicoot N. Sane Trilogy,PS4,Platform,Activision,Vicarious Visions,,Apr.83,1.Sep,0.07,Feb.92,0.74,30.6.2017,23.9.2018
Call of Duty: Infinite Warfare,XOne,Shooter,Activision,Infinity Ward,,Apr.79,Feb.91,,Jan.44,0.44,4.11.2016,24.3.2018
Crash Team Racing,PS,Racing,Sony Computer Entertainment,Naughty Dog,9.Feb,Apr.79,Feb.57,0.44,Jan.57,0.21,30.9.1999,
LEGO Star Wars: The Complete Saga,DS,Action,LucasArts,Traveller's Tales,7.Aug,Apr.77,Feb.83,,Jan.49,0.45,6.11.2007,
Batman: Arkham City,X360,Action,Warner Bros. Interactive,Rocksteady Studios,9.May,Apr.75,Feb.99,0.04,Jan.28,0.44,18.10.2011,
Driver 2,PS,Action,Atari,Reflections Interactive,7,Apr.73,Feb.36,0.02,2.Jan,0.25,13.11.2000,
The Simpsons: Hit & Run,PS2,Racing,VU Games,Radical Entertainment,7.Jul,4.Jul,Jan.73,,Feb.19,0.79,16.9.2003,
Tony Hawk's Pro Skater 2,PS,Sports,Activision,Neversoft Entertainment,9.Mar,Apr.68,3.May,0.02,Jan.41,0.2,20.9.2000,
The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,Stormfront Studios,8.Mar,Apr.67,Jan.94,0.08,Jan.95,0.7,21.10.2002,
Tomb Raider,PS,Action,Eidos Interactive,Core Design Ltd.,8.Sep,Apr.63,Feb.29,0.13,Jan.97,0.24,14.11.1996,
Forza Motorsport 4,X360,Racing,Microsoft Studios,Turn 10 Studio,9.Jan,4.Jun,2.Aug,0.06,Jan.98,0.49,11.10.2011,
Guitar Hero III: Legends of Rock,Wii,Misc,RedOctane,Vicarious Visions,8.Jun,4.Jun,3.Apr,0,1.Dec,0.44,28.10.2007,
FIFA 15,PS3,Sports,EA Sports,EA Canada,6.Sep,Apr.56,0.59,0.04,Mar.25,0.68,23.9.2014,23.3.2018
Mario & Sonic at the Olympic Winter Games,Wii,Sports,Sega,Sega,6.Aug,Apr.54,Jan.87,0.22,Jan.97,0.48,13.10.2009,
Overwatch,PS4,Shooter,Blizzard Entertainment,Blizzard Entertainment,8.Aug,Apr.54,Jan.84,0.17,1.Aug,0.73,24.5.2016,24.3.2018
Guitar Hero III: Legends of Rock,X360,Misc,RedOctane,Neversoft,8.Jul,Apr.53,Mar.19,0.01,0.91,0.42,28.10.2007,
Star Wars Battlefront II (2017),PS4,Shooter,Electronic Arts,EA DICE,,Apr.53,1.Jul,0.12,Jan.99,0.73,17.11.2017,29.12.2017
Madden NFL 2005,PS2,Sports,EA Sports,EA Tiburon,9.May,Apr.53,Apr.18,0.01,0.26,0.08,9.8.2004,
Spider-Man: The Movie,PS2,Action,Activision,Treyarch,8.Feb,Apr.48,Feb.71,0.03,Jan.51,0.23,15.4.2002,
The Elder Scrolls IV: Oblivion,X360,Role-Playing,Take-Two Interactive,Bethesda Softworks,9.Feb,Apr.47,Feb.89,0.13,1.Mar,0.41,7.7.2009,
Tony Hawk's Pro Skater 3,PS2,Sports,Activision,Neversoft Entertainment,9.Jan,Apr.41,Feb.66,0.01,Jan.29,0.46,28.10.2001,
Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,Konami,Konami Computer Entertainment Tokyo,8.Aug,Apr.39,0.1,1.May,Feb.39,0.86,6.2.2007,
Tom Clancy's The Division,PS4,Shooter,Ubisoft,Massive Entertainment,,Apr.37,Jan.49,0.16,2.Apr,0.69,8.3.2016,4.5.2018
Need for Speed: Most Wanted,PS2,Racing,Electronic Arts,EA Canada,8.Jun,Apr.37,2.Mar,0.08,Jan.79,0.47,15.11.2005,
Michael Jackson: The Experience,Wii,Misc,Ubisoft,Ubisoft Montpellier,5.Jun,Apr.37,Feb.64,0.01,Jan.33,0.39,23.11.2010,
Tom Clancy's Rainbow Six: Siege,PS4,Shooter,Ubisoft,Ubisoft Montreal,,Apr.36,Jan.29,0.36,2.Jun,0.64,1.12.2015,
Call of Duty: Advanced Warfare,X360,Shooter,Activision,High Moon Studios,9.Jan,Apr.34,Feb.81,0,Jan.13,0.41,4.11.2014,4.1.2018
Watch Dogs,PS4,Action-Adventure,Ubisoft,Ubisoft Montreal,,Apr.32,1.Apr,0.11,Feb.13,0.68,27.5.2014,15.3.2018
Asteroids,2600,Shooter,Atari,Atari,,Apr.31,4,,0.26,0.05,1.1.1981,
Batman: Arkham Asylum,PS3,Action,Eidos Interactive,Rocksteady Studios,9,Apr.28,Feb.26,0.07,Jan.33,0.63,25.8.2009,
Call of Duty: Advanced Warfare,PS3,Shooter,Activision,High Moon Studios,9.Jan,Apr.27,Jan.59,0.2,Jan.81,0.67,4.11.2014,4.1.2018
Namco Museum,GBA,Misc,Namco,Mass Media,,Apr.24,3,0.05,1.Nov,0.07,10.6.2001,
Assassin's Creed: Revelations,PS3,Action,Ubisoft,Ubisoft Montreal,8.Aug,Apr.23,Jan.41,0.1,2.Mar,0.69,15.11.2011,
Assassin's Creed: Revelations,X360,Action,Ubisoft,Ubisoft Montreal,7.Sep,Apr.22,Feb.28,0.04,Jan.47,0.44,15.11.2011,
FIFA Soccer 06,PS2,Sports,EA Sports,EA Canada,8.Apr,Apr.21,0.78,0.04,Feb.55,0.84,4.10.2005,
Street Fighter IV,PS3,Fighting,Capcom,Capcom / Dimps Corporation,9.Mar,Apr.19,2.Apr,0.59,1.May,0.52,17.2.2009,
FIFA Soccer 12,X360,Sports,EA Sports,EA Canada,9.Feb,Apr.18,0.85,0.02,Feb.79,0.52,27.9.2011,
Call of Duty: Ghosts,PS4,Shooter,Activision,Infinity Ward,7.May,Apr.17,Jan.79,0.05,Jan.64,0.69,15.11.2013,21.3.2018
Teenage Mutant Ninja Turtles,NES,Platform,Ultra Games,Konami,5.Sep,Apr.17,Mar.38,0.31,0.44,0.04,1.6.1989,
Frogger,PS,Action,Hasbro Interactive,Millenium Interactive,,Apr.16,Mar.79,,0.27,0.11,30.9.1997,
FIFA 14,X360,Sports,EA Sports,EA Canada,,Apr.15,0.94,0.01,Feb.92,0.29,24.9.2013,15.9.2018
Star Wars Battlefront (2015),XOne,Shooter,Electronic Arts,EA DICE,6.Sep,Apr.15,Feb.49,0.02,Jan.26,0.38,17.11.2015,24.3.2018
Madden NFL 2003,PS2,Sports,EA Sports,EA Tiburon,9.Apr,Apr.14,Mar.36,0.01,0.21,0.56,12.8.2002,
Assassin's Creed: Unity,PS4,Action,Ubisoft,Ubisoft Montreal,,Apr.14,Jan.25,0.09,Feb.16,0.65,11.11.2014,4.5.2018
Destiny 2,PS4,Shooter,Activision,Bungie,,Apr.14,Jan.92,0.1,Jan.44,0.69,6.9.2017,20.4.2018
FIFA 07 Soccer,PS2,Sports,EA Sports,Team Fusion,8.Apr,4.Nov,0.71,0.03,Feb.48,0.89,3.10.2006,
Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive,Rocksteady Studios,8.Jan,4.Nov,Jan.65,0.11,Jan.68,0.66,23.6.2015,4.1.2018
The Sims 4,PC,Simulation,Electronic Arts,Maxis,7,4.Jan,1.Feb,,2.Jun,0.3,2.9.2014,29.12.2017
Fallout: New Vegas,X360,Role-Playing,Bethesda Softworks,Obsidian Entertainment,8.Feb,4.Aug,Feb.67,0.04,1.Mar,0.34,19.10.2010,
Carnival Games,Wii,Misc,Global Star Software,Cat Daddy Games,4.Feb,4.Jun,2.Dec,0.05,Jan.47,0.42,28.8.2007,
Far Cry 4,PS4,Shooter,Ubisoft,Ubisoft Montreal,8.Apr,4.Jun,Jan.18,0.11,Feb.14,0.63,18.11.2014,23.1.2018
Assassin's Creed Origins,PS4,Action,Ubisoft,Ubisoft Montreal,,4.Jun,Jan.22,0.11,2.Nov,0.63,27.10.2017,10.1.2018
World Soccer Winning Eleven 9,PS2,Sports,Konami,Konami Computer Entertainment Tokyo,8.Sep,4.Jun,0.12,0.9,Feb.26,0.77,7.2.2006,
Forza Motorsport 2,X360,Racing,Microsoft Game Studios,Turn 10 Studios,9.Jan,4.May,Feb.35,0.03,Jan.27,0.41,29.5.2007,
Namco Museum Vol.3,PS,Misc,Namco,Namco,,4.May,Feb.28,0.16,Jan.55,0.06,31.1.1997,
Tekken Tag Tournament,PS2,Fighting,Namco,Namco,8.Jul,4.May,Jan.68,0.51,Jan.51,0.35,25.10.2000,
Fallout 3,PS3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.Aug,4,Feb.18,0.07,Jan.15,0.61,28.10.2008,
The Elder Scrolls V: Skyrim,PC,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.Feb,Mar.99,Jan.18,,Feb.25,0.56,11.11.2011,1.4.2018
NBA 2K16,PS4,Sports,2K Sports,Visual Concepts,8.Jul,Mar.98,Feb.56,0.05,0.66,0.71,29.9.2015,28.3.2018
Namco Museum: 50th Anniversary,PS2,Misc,Namco,Digital Eclipse,,Mar.98,2.Aug,,Jan.35,0.54,30.8.2005,
Far Cry 5,PS4,Action,Ubisoft,Ubisoft,7.Sep,Mar.95,Jan.44,0.15,Jan.73,0.62,27.3.2018,28.2.2018
Battlefield 4,PS4,Shooter,Electronic Arts,EA DICE,8.Mar,Mar.94,1.Apr,0.19,Jan.74,0.62,15.11.2013,9.1.2018
Assassin's Creed IV: Black Flag,PS3,Action-Adventure,Ubisoft,Ubisoft Montreal,8.Jul,Mar.94,Jan.34,0.13,Jan.86,0.62,29.10.2013,14.3.2018
Tony Hawk's Underground,PS2,Sports,Activision,Neversoft Entertainment,8.Jul,3.Sep,Feb.29,0.01,Jan.17,0.42,27.10.2003,
Just Dance 2014,Wii,Music,Ubisoft,Ubisoft Paris,7.Apr,Mar.89,Jan.91,,Jan.66,0.33,8.10.2013,8.3.2018
Sports Champions,PS3,Sports,Sony Computer Entertainment,SCE San Diego Studio,7.Jun,Mar.88,Feb.15,0.1,Jan.13,0.5,17.9.2010,
World Soccer Winning Eleven 8 International,PS2,Sports,Konami,Konami Computer Entertainment Tokyo,9.Mar,Mar.85,0.16,1.Dec,Jan.89,0.68,1.2.2005,
Namco Museum Vol.1,PS,Misc,Namco,Namco,,Mar.84,2.Dec,0.22,Jan.44,0.06,31.7.1996,
LEGO Indiana Jones: The Original Adventures,X360,Adventure,LucasArts,Traveller's Tales,7.May,Mar.76,2.Apr,,1.Jan,0.36,3.6.2008,
The Sims: Unleashed,PC,Simulation,Electronic Arts,Maxis,7.Mar,Mar.76,2.Mar,,Jan.56,0.17,23.9.2002,
Ratchet & Clank: Size Matters,PSP,Platform,Sony Computer Entertainment,High Impact Games,8.May,Mar.75,1.Apr,0.1,1.Apr,0.86,13.2.2007,
FIFA 17,XOne,Sports,Electronic Arts,EA Canada,8.Aug,Mar.71,1.Apr,,2.Apr,0.27,27.9.2016,28.3.2018
FIFA Soccer 2005,PS2,Sports,EA Sports,EA Canada,8.Apr,3.Jul,0.58,0.04,Feb.48,0.59,12.10.2004,
Tony Hawk's Pro Skater 4,PS2,Sports,Activision,Neversoft Entertainment,9.Jun,Mar.67,Feb.13,0.01,Jan.18,0.35,23.10.2002,
MySims,DS,Simulation,Electronic Arts,EA Redwood Shores,6.Jul,Mar.66,Jan.58,0.08,1.Jun,0.4,18.9.2007,
Midnight Club 3: DUB Edition,PSP,Racing,Rockstar Games,Rockstar Leeds,7.Feb,Mar.66,Jan.65,,Jan.22,0.79,27.6.2005,
SOCOM: U.S. Navy SEALs,PS2,Shooter,Sony Computer Entertainment,Zipper Interactive,8,Mar.65,Feb.53,0.06,0.81,0.24,27.8.2002,
Battlefield 4,PS3,Shooter,Electronic Arts,EA DICE,8.Jul,Mar.64,Jan.31,0.27,1.May,0.55,29.10.2013,4.1.2018
Jak and Daxter: The Precursor Legacy,PS2,Platform,Sony Computer Entertainment,Naughty Dog,9,Mar.64,2.Aug,0.15,1.Sep,0.33,4.12.2001,
Pro Evolution Soccer 2008,PS2,Sports,Konami,Konami,8.Feb,Mar.63,0.05,0.64,0,Feb.93,11.3.2008,
FIFA Soccer 10,PS3,Sports,EA Sports,EA Canada,9,Mar.63,0.6,0.05,Feb.46,0.52,20.10.2009,
Guitar Hero: World Tour,Wii,Misc,Activision,Vicarious Visions,8.Apr,Mar.62,Feb.32,,0.96,0.34,26.10.2008,
The Simpsons: Road Rage,PS2,Racing,Electronic Arts,Radical Entertainment,6.Jan,Mar.61,2.Feb,,Jan.17,0.42,24.11.2001,
Star Wars Battlefront,PS2,Shooter,LucasArts,Pandemic Studios,8.Jan,Mar.61,Jan.93,0.03,Jan.22,0.44,20.9.2004,
Doom II,PC,Shooter,GT Interactive,id Software,9.Mar,Mar.61,2.May,,1.Apr,0.16,30.9.1994,
Assassin's Creed Syndicate,PS4,Action,Ubisoft,Ubisoft Quebec,8.Jun,3.Jun,0.9,0.08,2.Jun,0.55,23.10.2015,4.5.2018
Star Wars Battlefront II,PS2,Shooter,LucasArts,Pandemic Studios,8.May,Mar.59,Feb.18,0.03,1.Feb,0.37,1.11.2005,
Assassin's Creed: Unity,XOne,Action,Ubisoft,Ubisoft Montreal,,Mar.58,Feb.34,0,0.9,0.34,11.11.2014,4.5.2018
WWF SmackDown!,PS,Fighting,THQ,Yuke's,,Mar.58,2.Jan,0.06,Jan.35,0.16,1.3.2000,
