title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
Grand Theft Auto V,PS3,Action,Rockstar Games,Rockstar North,9.Apr,20.32,Jun.37,0.99,Sep.85,3.Dec,17.9.2013,
Grand Theft Auto V,PS4,Action,Rockstar Games,Rockstar North,9.Jul,19.39,6.Jun,0.6,Sep.71,3.Feb,18.11.2014,3.1.2018
Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,Rockstar North,9.Jun,16.15,Aug.41,0.47,May.49,Jan.78,28.10.2002,
Grand Theft Auto V,X360,Action,Rockstar Games,Rockstar North,,15.86,9.Jun,0.06,May.33,Jan.42,17.9.2013,
Call of Duty: Black Ops 3,PS4,Shooter,Activision,Treyarch,8.Jan,15.Sep,Jun.18,0.41,6.May,Feb.44,6.11.2015,14.1.2018
Call of Duty: Modern Warfare 3,X360,Shooter,Activision,Infinity Ward,8.Jul,14.82,9.Jul,0.13,Apr.29,Jan.33,8.11.2011,
Call of Duty: Black Ops,X360,Shooter,Activision,Treyarch,8.Aug,14.74,Sep.76,0.11,Mar.73,Jan.14,9.11.2010,
Red Dead Redemption 2,PS4,Action-Adventure,Rockstar Games,Rockstar Games,9.Aug,13.94,May.26,0.21,Jun.21,Feb.26,26.10.2018,2.11.2018
Call of Duty: Black Ops II,X360,Shooter,Activision,Treyarch,8.Apr,13.86,Aug.27,0.07,Apr.32,1.Feb,13.11.2012,7.4.2018
Call of Duty: Black Ops II,PS3,Shooter,Activision,Treyarch,8,13.Aug,Apr.99,0.65,May.88,Feb.28,13.11.2012,7.4.2018
Call of Duty: Modern Warfare 2,X360,Shooter,Activision,Infinity Ward,9.May,13.53,Aug.54,0.08,Mar.63,Jan.28,10.11.2009,
Call of Duty: WWII,PS4,Shooter,Activision,Sledgehammer Games,8.Jan,13.Apr,Apr.67,0.4,Jun.21,2.Dec,3.11.2017,31.12.2017
Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,Infinity Ward,8.Aug,13.35,May.54,0.49,May.78,Jan.54,8.11.2011,
Grand Theft Auto III,PS2,Action,Rockstar Games,DMA Design,9.May,13.Jan,Jun.99,0.3,Apr.51,1.Mar,23.10.2001,
Call of Duty: Black Ops,PS3,Shooter,Activision,Treyarch,8.Jul,Dec.67,6.Jan,0.48,4.Apr,Jan.78,9.11.2010,
FIFA 18,PS4,Sports,EA Sports,EA Vancouver,8.Mar,11.Aug,Jan.27,0.15,Aug.64,Jan.73,29.9.2017,2.4.2018
Grand Theft Auto IV,X360,Action,Rockstar Games,Rockstar North,10,11.Sep,6.Aug,0.14,3.Nov,1.Apr,29.4.2008,
FIFA 17,PS4,Sports,Electronic Arts,EA Canada,8.Sep,Oct.94,Jan.26,0.12,Jul.95,Jan.61,27.9.2016,28.3.2018
Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,Infinity Ward,9.May,Oct.61,Apr.99,0.38,Mar.66,Jan.59,10.11.2009,
Grand Theft Auto IV,PS3,Action,Rockstar Games,Rockstar North,10,Oct.57,Apr.79,0.44,Mar.73,Jan.62,29.4.2008,
Call of Duty: Ghosts,X360,Shooter,Activision,Infinity Ward,6.Sep,Oct.41,Jun.76,0.04,Feb.64,0.98,5.11.2013,21.3.2018
Call of Duty: Ghosts,PS3,Shooter,Activision,Infinity Ward,7.May,Oct.13,4.Nov,0.39,4.Jan,Jan.62,5.11.2013,21.3.2018
Halo: Reach,X360,Shooter,Microsoft Game Studios,Bungie,9.Mar,Sep.97,7.Aug,0.08,2.Jan,0.8,14.9.2010,11.10.2018
Halo 4,X360,Shooter,Microsoft Studios,343 Industries,,Sep.96,Jun.72,0.04,Feb.36,0.83,6.11.2012,
Call of Duty 4: Modern Warfare,X360,Shooter,Activision,Infinity Ward,9.Jun,Sep.41,May.98,0.13,Feb.39,0.91,5.11.2007,
Call of Duty: Black Ops IIII,PS4,Shooter,Activision,Treyarch,,Sep.32,4.May,0.5,Mar.28,Jan.49,12.10.2018,7.11.2018
FIFA 19,PS4,Sports,Electronic Arts,EA Sports,,Sep.15,0.84,0.1,Jun.87,Jan.34,28.9.2018,12.9.2018
The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.Mar,Aug.88,5.Jan,0.1,Feb.83,0.85,11.11.2011,1.4.2018
Grand Theft Auto V,XOne,Action,Rockstar Games,Rockstar North,9,Aug.72,4.Jul,0.01,Mar.25,0.76,18.11.2014,11.4.2018
